Time,CPU
19:21:57,30.1
19:21:58,27
19:21:59,16.2
19:22:00,14.4
19:22:01,12
19:22:02,9.7
19:22:03,21.5
19:22:04,26
19:22:05,8.6
19:22:06,9.7
19:22:07,9
19:22:08,15.6
19:22:09,22.8
19:22:10,23.3
19:22:11,9.3
19:22:12,15.6
19:22:13,16.6
19:22:14,13.6
19:22:15,23
19:22:16,27.3
19:22:17,14
19:22:18,20
19:22:19,9
19:22:20,14
19:22:21,14.3
19:22:22,30.4
19:22:23,30.1
19:22:24,28.6
19:22:25,29.3
19:22:26,16.8
19:22:27,21.2
19:22:28,31.2
19:22:29,11.6
19:22:30,15.6
19:22:31,27.1
19:22:32,14
19:22:33,19.8
19:22:34,25.6
19:22:35,14.6
19:22:36,7.8
19:22:37,10.1
19:22:38,46.7
19:22:39,29.7
19:22:40,25.9
19:22:41,7.8
19:22:42,10.5
19:22:43,17.4
19:22:44,11.3
19:22:45,23
19:22:46,30.3
19:22:47,12.5
19:22:48,10
19:22:49,13.2
19:22:50,11.6
19:22:51,14.4
19:22:52,33.5
19:22:53,12.8
19:22:54,10.1
19:22:55,20
19:22:56,7.8
19:22:57,14.2
19:22:58,36.8
19:22:59,14.5
19:23:00,15.2
19:23:01,12.8
19:23:02,8.6
19:23:03,12.8
19:23:04,58.1
19:23:05,31.2
19:23:06,31
19:23:07,43
19:23:08,44.3
19:23:09,38.8
19:23:10,51.3
19:23:11,34.6
19:23:12,10
19:23:13,4.3
19:23:14,16.9
19:23:15,12.5
19:23:16,32.6
19:23:17,12.5
19:23:18,18.6
19:23:19,27.6
19:23:20,28.9
19:23:21,9.3
19:23:22,43.6
19:23:23,42.8
19:23:24,51.9
19:23:25,27.3
19:23:26,18.1
19:23:27,7.4
19:23:28,31
19:23:29,11.5
19:23:30,15
19:23:31,18.6
19:23:32,9.3
19:23:33,10.5
19:23:34,30.9
19:23:35,46.4
19:23:36,19.4
19:23:37,14.4
19:23:38,26.7
19:23:39,28.9
19:23:40,17.6
19:23:41,26.3
19:23:42,10.1
19:23:43,10.8
19:23:44,12.7
19:23:45,50
19:23:46,43.1
19:23:47,60.7
19:23:48,37.9
19:23:49,42.9
19:23:50,38.2
19:23:51,35.2
19:23:52,51.7
19:23:53,44
19:23:54,43.4
19:23:55,38.1
19:23:56,29
19:23:57,43.9
19:23:58,55.1
19:23:59,64.1
19:24:00,47.3
19:24:01,31.7
19:24:02,29.2
19:24:03,51.6
19:24:04,59.5
19:24:05,41.1
19:24:06,43.8
19:24:07,44.5
19:24:08,45.7
19:24:09,57.1
19:24:10,57.1
19:24:11,59.8
19:24:12,20.8
19:24:13,23.3
19:24:14,37.6
19:24:15,50
19:24:16,54
19:24:17,61
19:24:18,41.8
19:24:19,27.3
19:24:20,30.3
19:24:21,29.7
19:24:22,56.1
19:24:23,46.6
19:24:24,53
19:24:25,34.7
19:24:26,27.3
19:24:27,21.5
19:24:28,39.9
19:24:29,40.4
19:24:30,63.7
19:24:31,36.3
19:24:32,31.3
19:24:33,11.1
19:24:34,24.9
19:24:35,26.4
19:24:36,18.7
19:24:37,8.9
19:24:38,11.6
19:24:39,48.5
19:24:40,24.4
19:24:41,17.9
19:24:42,10.4
19:24:43,7.8
19:24:44,9.7
19:24:45,6.6
19:24:46,24.9
19:24:47,28
19:24:48,9.3
19:24:49,8.5
19:24:50,12.8
19:24:51,14.1
19:24:52,21.3
19:24:53,31.9
19:24:54,7.7
19:24:55,17.1
19:24:56,6.6
19:24:57,7
19:24:58,20.5
19:24:59,37.8
19:25:00,13.6
19:25:01,8.6
19:25:02,7.8
19:25:03,6.6
19:25:04,10.5
19:25:05,24.7
